# The following table is formatted as tab separated values. 																							
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LQ108_RS00025	gene-LQ108_RS00025	TRANSCRIPT_gene-LQ108_RS00025	protein_coding	0	10	6	70	0	0	0	0	27	0	0	6	0	0	0	0	0	0	10	43
LQ108_RS00030	gene-LQ108_RS00030	TRANSCRIPT_gene-LQ108_RS00030	protein_coding	0	6	2	86	0	0	0	0	46	0	0	2	0	0	0	0	0	0	6	40
LQ108_RS00045	gene-LQ108_RS00045	TRANSCRIPT_gene-LQ108_RS00045	protein_coding	0	2	5	105	0	0	0	0	56	0	0	5	0	0	0	0	0	0	2	49
LQ108_RS00050	gene-LQ108_RS00050	TRANSCRIPT_gene-LQ108_RS00050	protein_coding	0	7	0	107	0	0	0	0	57	0	0	0	0	0	0	0	0	0	7	50
LQ108_RS00060	gene-LQ108_RS00060	TRANSCRIPT_gene-LQ108_RS00060	protein_coding	0	18	0	95	0	0	0	0	53	0	0	0	0	0	0	0	0	0	18	42
LQ108_RS00065	gene-LQ108_RS00065	TRANSCRIPT_gene-LQ108_RS00065	protein_coding	0	11	7	84	0	0	0	0	39	0	0	7	0	0	0	0	0	0	11	45
LQ108_RS00070	gene-LQ108_RS00070	TRANSCRIPT_gene-LQ108_RS00070	protein_coding	0	1	1	95	0	0	0	0	56	0	0	1	0	0	0	0	0	0	1	39
LQ108_RS00085	gene-LQ108_RS00085	TRANSCRIPT_gene-LQ108_RS00085	protein_coding	0	18	1	97	0	0	0	0	39	0	0	1	0	0	0	0	0	0	18	58
LQ108_RS00090	gene-LQ108_RS00090	TRANSCRIPT_gene-LQ108_RS00090	protein_coding	0	1	0	99	0	0	0	0	55	0	0	0	0	0	0	0	0	0	1	44
LQ108_RS00095	gene-LQ108_RS00095	TRANSCRIPT_gene-LQ108_RS00095	protein_coding	0	15	2	90	0	0	0	0	43	0	0	2	0	0	0	0	0	0	15	47
LQ108_RS00100	gene-LQ108_RS00100	TRANSCRIPT_gene-LQ108_RS00100	protein_coding	0	7	0	87	0	0	0	0	44	0	0	0	0	0	0	0	0	0	7	43
LQ108_RS00105	gene-LQ108_RS00105	TRANSCRIPT_gene-LQ108_RS00105	protein_coding	0	4	0	84	0	0	0	0	45	0	0	0	0	0	0	0	0	0	4	39
LQ108_RS00110	gene-LQ108_RS00110	TRANSCRIPT_gene-LQ108_RS00110	protein_coding	1	6	0	81	0	0	0	0	42	0	0	0	0	0	0	1	0	0	6	39
LQ108_RS00130	gene-LQ108_RS00130	TRANSCRIPT_gene-LQ108_RS00130	protein_coding	0	6	1	74	0	0	0	0	31	0	0	1	0	0	0	0	0	0	6	43
LQ108_RS00140	gene-LQ108_RS00140	TRANSCRIPT_gene-LQ108_RS00140	protein_coding	0	3	1	82	0	0	0	0	43	0	0	1	0	0	0	0	0	0	3	39
LQ108_RS00145	gene-LQ108_RS00145	TRANSCRIPT_gene-LQ108_RS00145	protein_coding	0	0	0	84	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	43
LQ108_RS00155	gene-LQ108_RS00155	TRANSCRIPT_gene-LQ108_RS00155	protein_coding	0	0	0	80	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	33
LQ108_RS00160	gene-LQ108_RS00160	TRANSCRIPT_gene-LQ108_RS00160	protein_coding	0	2	0	77	0	0	0	0	48	0	0	0	0	0	0	0	0	0	2	29
LQ108_RS00190	gene-LQ108_RS00190	TRANSCRIPT_gene-LQ108_RS00190	protein_coding	0	9	1	105	0	0	0	0	58	0	0	1	0	0	0	0	0	0	9	47
LQ108_RS00200	gene-LQ108_RS00200	TRANSCRIPT_gene-LQ108_RS00200	protein_coding	0	13	1	97	0	0	0	0	52	0	0	1	0	0	0	0	0	0	13	45
LQ108_RS00205	gene-LQ108_RS00205	TRANSCRIPT_gene-LQ108_RS00205	protein_coding	0	8	6	92	0	0	0	0	47	0	0	6	0	0	0	0	0	0	8	45
LQ108_RS00210	gene-LQ108_RS00210	TRANSCRIPT_gene-LQ108_RS00210	protein_coding	0	7	1	93	0	0	0	0	38	0	0	1	0	0	0	0	0	0	7	55
LQ108_RS00215	gene-LQ108_RS00215	TRANSCRIPT_gene-LQ108_RS00215	protein_coding	0	0	0	100	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	60
LQ108_RS00225	gene-LQ108_RS00225	TRANSCRIPT_gene-LQ108_RS00225	protein_coding	0	7	1	83	0	0	0	0	59	0	0	1	0	0	0	0	0	0	7	24
LQ108_RS00230	gene-LQ108_RS00230	TRANSCRIPT_gene-LQ108_RS00230	protein_coding	0	8	0	82	0	0	0	0	61	0	0	0	0	0	0	0	0	0	8	21
LQ108_RS00235	gene-LQ108_RS00235	TRANSCRIPT_gene-LQ108_RS00235	protein_coding	0	3	0	63	0	0	0	0	44	0	0	0	0	0	0	0	0	0	3	19
LQ108_RS00240	gene-LQ108_RS00240	TRANSCRIPT_gene-LQ108_RS00240	protein_coding	0	4	0	68	0	0	0	0	44	0	0	0	0	0	0	0	0	0	4	24
LQ108_RS00245	gene-LQ108_RS00245	TRANSCRIPT_gene-LQ108_RS00245	protein_coding	0	9	0	63	0	0	0	0	33	0	0	0	0	0	0	0	0	0	9	30
LQ108_RS00250	gene-LQ108_RS00250	TRANSCRIPT_gene-LQ108_RS00250	protein_coding	0	0	0	58	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	32
LQ108_RS00255	gene-LQ108_RS00255	TRANSCRIPT_gene-LQ108_RS00255	protein_coding	0	1	0	66	0	0	0	0	40	0	0	0	0	0	0	0	0	0	1	26
LQ108_RS00260	gene-LQ108_RS00260	TRANSCRIPT_gene-LQ108_RS00260	protein_coding	0	0	0	71	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	48
LQ108_RS00265	gene-LQ108_RS00265	TRANSCRIPT_gene-LQ108_RS00265	protein_coding	0	7	2	73	0	0	0	0	21	0	0	2	0	0	0	0	0	0	7	52
LQ108_RS00270	gene-LQ108_RS00270	TRANSCRIPT_gene-LQ108_RS00270	protein_coding	0	25	5	66	0	0	0	0	23	0	0	5	0	0	0	0	0	0	25	43
LQ108_RS00275	gene-LQ108_RS00275	TRANSCRIPT_gene-LQ108_RS00275	protein_coding	0	15	0	75	0	0	0	0	40	0	0	0	0	0	0	0	0	0	15	35
LQ108_RS00280	gene-LQ108_RS00280	TRANSCRIPT_gene-LQ108_RS00280	protein_coding	0	6	0	88	0	0	0	0	49	0	0	0	0	0	0	0	0	0	6	39
LQ108_RS00285	gene-LQ108_RS00285	TRANSCRIPT_gene-LQ108_RS00285	protein_coding	0	4	1	87	0	0	0	0	35	0	0	1	0	0	0	0	0	0	4	52
LQ108_RS00295	gene-LQ108_RS00295	TRANSCRIPT_gene-LQ108_RS00295	protein_coding	0	4	2	86	0	0	0	0	50	0	0	2	0	0	0	0	0	0	4	36
LQ108_RS00300	gene-LQ108_RS00300	TRANSCRIPT_gene-LQ108_RS00300	protein_coding	0	2	0	92	0	0	0	0	51	0	0	0	0	0	0	0	0	0	2	41
LQ108_RS00305	gene-LQ108_RS00305	TRANSCRIPT_gene-LQ108_RS00305	protein_coding	0	6	0	74	0	0	0	0	38	0	0	0	0	0	0	0	0	0	6	36
LQ108_RS00310	gene-LQ108_RS00310	TRANSCRIPT_gene-LQ108_RS00310	protein_coding	0	10	1	69	0	0	0	0	35	0	0	1	0	0	0	0	0	0	10	34
LQ108_RS00315	gene-LQ108_RS00315	TRANSCRIPT_gene-LQ108_RS00315	protein_coding	0	14	4	65	0	0	0	0	39	0	0	4	0	0	0	0	0	0	14	26
LQ108_RS00320	gene-LQ108_RS00320	TRANSCRIPT_gene-LQ108_RS00320	protein_coding	0	3	3	62	0	0	0	0	36	0	0	3	0	0	0	0	0	0	3	26
LQ108_RS00325	gene-LQ108_RS00325	TRANSCRIPT_gene-LQ108_RS00325	protein_coding	0	2	0	71	0	0	0	0	42	0	0	0	0	0	0	0	0	0	2	29
LQ108_RS00330	gene-LQ108_RS00330	TRANSCRIPT_gene-LQ108_RS00330	protein_coding	0	5	3	64	0	0	0	0	33	0	0	3	0	0	0	0	0	0	5	31
LQ108_RS00335	gene-LQ108_RS00335	TRANSCRIPT_gene-LQ108_RS00335	protein_coding	0	2	0	70	0	0	0	0	36	0	0	0	0	0	0	0	0	0	2	34
LQ108_RS00340	gene-LQ108_RS00340	TRANSCRIPT_gene-LQ108_RS00340	protein_coding	0	0	0	73	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	35
LQ108_RS00345	gene-LQ108_RS00345	TRANSCRIPT_gene-LQ108_RS00345	protein_coding	0	4	1	66	0	0	0	0	35	0	0	1	0	0	0	0	0	0	4	31
LQ108_RS00350	gene-LQ108_RS00350	TRANSCRIPT_gene-LQ108_RS00350	protein_coding	0	19	1	70	0	0	0	0	43	0	0	1	0	0	0	0	0	0	19	27
LQ108_RS00355	gene-LQ108_RS00355	TRANSCRIPT_gene-LQ108_RS00355	protein_coding	0	7	6	75	0	0	0	0	41	0	0	6	0	0	0	0	0	0	7	34
LQ108_RS00360	gene-LQ108_RS00360	TRANSCRIPT_gene-LQ108_RS00360	protein_coding	0	2	0	84	0	0	0	0	46	0	0	0	0	0	0	0	0	0	2	38
LQ108_RS00365	gene-LQ108_RS00365	TRANSCRIPT_gene-LQ108_RS00365	protein_coding	0	0	0	87	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	36
LQ108_RS00370	gene-LQ108_RS00370	TRANSCRIPT_gene-LQ108_RS00370	protein_coding	0	0	0	88	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	36
LQ108_RS00375	gene-LQ108_RS00375	TRANSCRIPT_gene-LQ108_RS00375	protein_coding	0	23	2	88	0	0	0	0	53	0	0	2	0	0	0	0	0	0	23	35
LQ108_RS00380	gene-LQ108_RS00380	TRANSCRIPT_gene-LQ108_RS00380	protein_coding	0	6	1	90	0	0	0	0	49	0	0	1	0	0	0	0	0	0	6	41
LQ108_RS00385	gene-LQ108_RS00385	TRANSCRIPT_gene-LQ108_RS00385	protein_coding	0	9	1	90	0	0	0	0	51	0	0	1	0	0	0	0	0	0	9	39
LQ108_RS00390	gene-LQ108_RS00390	TRANSCRIPT_gene-LQ108_RS00390	protein_coding	0	8	1	91	0	0	0	0	47	0	0	1	0	0	0	0	0	0	8	44
LQ108_RS00395	gene-LQ108_RS00395	TRANSCRIPT_gene-LQ108_RS00395	protein_coding	0	6	1	94	0	0	0	0	42	0	0	1	0	0	0	0	0	0	6	52
LQ108_RS00400	gene-LQ108_RS00400	TRANSCRIPT_gene-LQ108_RS00400	protein_coding	0	11	1	88	0	0	0	0	52	0	0	1	0	0	0	0	0	0	11	36
LQ108_RS00405	gene-LQ108_RS00405	TRANSCRIPT_gene-LQ108_RS00405	protein_coding	0	7	0	99	0	0	0	0	54	0	0	0	0	0	0	0	0	0	7	45
LQ108_RS00410	gene-LQ108_RS00410	TRANSCRIPT_gene-LQ108_RS00410	protein_coding	0	10	0	96	0	0	0	0	51	0	0	0	0	0	0	0	0	0	10	45
LQ108_RS00420	gene-LQ108_RS00420	TRANSCRIPT_gene-LQ108_RS00420	protein_coding	0	1	1	94	0	0	0	0	48	0	0	1	0	0	0	0	0	0	1	46
